"","Tumor_1","Tumor_2","Tumor_3","Tumor_4","Tumor_5","Normal_1","Normal_2","Normal_3","Normal_4","Normal_5"
"ENSG00000005156.12",4952,6402,5667,1756,5001,1985,489,2001,1681,1600
"ENSG00000005175.10",2894,3365,3663,1689,2795,1346,592,1585,1890,1336
"ENSG00000005187.12",111,107,111,27,216,690,55,403,425,671
"ENSG00000005189.20",656,729,499,837,559,297,150,233,252,287
"ENSG00000005194.15",3790,2785,2571,3070,2216,1403,922,1453,2289,2590
"ENSG00000005206.17",634,2051,1257,4279,1928,1363,833,1414,1386,3283
"ENSG00000005238.20",1109,2349,1755,1266,1092,699,1070,706,904,1297
"ENSG00000005243.10",1532,619,262,2052,217,917,1346,445,1407,1778
"ENSG00000005249.13",3271,8097,7904,2498,1465,10376,24597,3318,2475,3595
"ENSG00000005302.19",1717,2401,2233,924,2724,1437,672,1294,1557,1548
"ENSG00000005339.15",8377,12258,5734,3831,13248,8355,4286,8485,8009,4006
"ENSG00000005379.17",478,1618,1668,718,3151,2029,203,2293,2906,2538
"ENSG00000005381.8",8,4,5,5,169,13,3,33,55,49
"ENSG00000005421.9",1,1258,2,0,11,6,1,8,13,15
"ENSG00000005436.14",1388,1621,1435,476,1204,811,707,746,929,622
"ENSG00000005448.17",1331,1025,1223,3539,922,332,144,414,636,1046
"ENSG00000005469.12",799,9016,1754,301,217,1251,271,3159,1595,1391
"ENSG00000005471.19",215,102,165,55,68,65,38,35,147,48
"ENSG00000005483.21",5274,8581,8897,828,2987,6370,2755,6603,4851,2290
"ENSG00000005486.17",5232,7167,5895,4390,2285,2605,1411,4346,5494,8177
"ENSG00000005513.10",21,26,7,18,1222,229,25,409,256,226
"ENSG00000005700.15",13771,7180,4333,2939,3715,3074,1865,3229,4104,2148
"ENSG00000005801.18",1269,2546,1276,932,1470,1376,599,1281,1051,944
"ENSG00000005810.18",4136,5070,3676,840,3637,6429,7511,4240,5502,2372
"ENSG00000005812.11",3475,3668,2361,1736,2079,3558,2860,4462,5051,2914
"ENSG00000005844.19",350,2506,475,194,941,650,143,890,615,757
"ENSG00000005882.12",1625,1700,2059,1008,633,1795,5084,1593,1723,1632
"ENSG00000005884.18",13618,4110,3852,6590,3530,7393,896,10550,10951,15148
"ENSG00000005889.16",4028,4676,8311,783,1904,3021,1848,2990,2819,1593
"ENSG00000005893.16",25403,24672,34310,6992,32882,9499,4053,12098,18291,11274
"ENSG00000005961.19",37,21,92,76,36,12,30,33,23,50
"ENSG00000005981.13",0,4,2,0,1,38,10,42,5,11
"ENSG00000006007.12",10760,9680,2971,2307,3478,3834,2134,3125,4321,3489
"ENSG00000006015.18",407,871,354,4730,800,588,643,652,720,2416
"ENSG00000006016.11",73,24,9,232,1326,140,64,167,200,1014
"ENSG00000006025.12",345,885,179,1114,259,510,181,666,587,1110
"ENSG00000006042.12",2016,4642,1834,948,2418,2405,548,3651,5852,6925
